stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,16.35,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,5.35,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,6.42,0,0,0,17.12,4.28,0,0,0,6.42,0,0,0,2.14,1.07,0,0,0
21Day,0,1.34,0,2.68,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0,0,0,8.03,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,4.02
3Month,0.32,1.6,0,6.4,0.32,0,0,0.32,0,58.23,1.92,0.96,2.24,0,3.52,10.56,1.92,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.32,3.84,0.64,0,0,0.32,29.44,4.8
22Month,0,0.55,1.64,5.47,0,2.73,1.09,6.01,4.37,1097.14,0.55,1.09,5.47,0.55,2.19,9.84,8.75,0,22.41,1.09,1.09,0.55,0.55,1.64,4.37,0.55,1.09,1.64,0.55,1.09,0,0,1.09,4.92
