stage,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,4.09,0,0,4.09,0,0
72hpf,0,0,0,1.07,1.07,0,0
21Day,0,0,0,0,0,2.68,0
22Month,2.19,0,0.55,0,0,0,0.55
