stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,167.54,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,2.14,0,0,0,0,0,0,0
21Day,0,0,0,4.02,1.34,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,6.69,1.34,0,4.02,0,0,0,0,0
3Month,0,0,0.32,2.56,0,0,0.64,0.96,0,5.76,0.96,0,2.24,0.32,0.32,0.96,1.92,0,0,0.32,0,0.64,0,1.28,0.96,0,11.52,1.28
22Month,0,0.55,0.55,1.64,0,0.55,0,2.19,2.19,32.8,1.64,1.09,5.47,0,1.09,2.19,2.19,2.19,0.55,0,0,0.55,0,0,0,0.55,0,0
