stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,61.3,0,0,0,16.35,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.64,0,0,0.32,0.64,0,0,0,0,0.32,0,0,0.64,0,0,2.56,0
22Month,1.64,0.55,0.55,3.28,1.09,0,0.55,10.93,0.55,1.09,0,0,0.55,3.28,0.55,0,0,0.55
