stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,3.21,0,1.07,2.14,0,0,0,0,2.14,11.77,1.07,1.07,24.61,6.42,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,1.34,0,12.05,0,1.34,1.34,2.68,0,1.34
3Month,0,0,0,0,0,0,0.64,0.32,0,0,0,0,0,0,0,0.64,0,0.32,0
22Month,0,0.55,0,0,0.55,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0
