stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,32.69,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,0,1.07,0,0,0,1.07,9.63
21Day,2.68,0,0,0,0,0,0,0,0,0,1.34,0,4.02,0,0,0,1.34,0,0,1.34,0,0,4.02,4.02
3Month,0,0.96,0,0,0.64,1.6,0.32,0.32,1.6,0,0,0.96,3.2,1.28,0,0.32,0,0,0,0.32,0,0.32,0,0.64
22Month,0,0.55,1.09,0.55,0,11.48,0,0,1.64,0.55,0,0,2.19,0,1.09,0,0,0,0,0,0.55,0,0,0
