stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,8.17,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,204.32,0,0,16.35,0,0,0,0,0
72hpf,0,1.07,2.14,2.14,3.21,0,0,0,0,0,0,0,0,0,0,3.21,0,2.14,1.07,0,29.95,26.74,0,0,2.14,0,0,1.07,1.07,0
21Day,1.34,0,10.71,0,9.37,0,8.03,0,0,0,0,0,1.34,0,0,2.68,0,8.03,0,0,16.06,18.74,0,1.34,4.02,1.34,1.34,0,0,0
3Month,0,0,3.52,0,0,0,0,0,0.64,0,1.6,0,0,1.28,0,0.96,0.64,0.64,0,0,0,0,0,0,0,0.32,1.28,0,0,0.32
22Month,0,0.55,6.01,0.55,0,1.09,0,1.09,3.83,1.09,58.49,0.55,1.09,5.47,0.55,0.55,2.19,7.11,1.09,1.64,0,0,1.09,0,0.55,0,0,0,0,0
