stage,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,4.09,8.17,0,0,0
72hpf,0,0,1.07,0,0,0,0
21Day,0,0,0,0,1.34,0,0
3Month,1.28,0.32,0,0,0,2.88,1.6
22Month,0.55,0,0,0,0,1.64,0
