stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,44.95,32.69,0,126.68,0,0,0,0,20.43,0,0,0,0,12.26,61.3,57.21,261.53,0,0,8.17,65.38,1761.24,8.17,0,32.69,0,0,0,0,8.17,0,0
72hpf,23.54,16.05,0,37.44,2.14,18.19,5.35,0,0,0,0,12.84,1.07,25.67,108.05,9.63,73.82,16.05,3.21,1.07,187.21,297.4,1.07,5.35,51.35,8.56,1.07,23.54,2.14,2.14,0,0
21Day,26.77,1.34,1.34,107.08,0,337.31,100.39,8.03,0,17.4,8.03,49.53,17.4,4.02,41.49,16.06,18.74,0,5.35,0,57.56,87,1.34,1.34,18.74,28.11,0,13.39,9.37,0,0,14.72
3Month,0,0,0,0.64,0,0,0,0.32,0,16.32,1.6,0,1.28,0.32,0,0.96,0.32,0,0,0.32,0.32,0,0,0,0,0.32,3.2,0,0,0,0.32,3.52
22Month,0.55,0.55,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0.55,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0
