stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0
21Day,0,1.34,0,0,1.34,1.34,1.34,0,0,0,1.34,0,1.34,0
3Month,0,1.6,0.32,1.28,2.24,0,0,0,0.32,7.68,0,0,6.08,0.32
22Month,0,0,0,2.19,0,0.55,0.55,0,0,0,0,0,0,0
