stage,Granulocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,16.35,0
72hpf,0,0,0,2.14,0
21Day,1.34,1.34,2.68,0,1.34
