stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,0,4.09,1777.59,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,4.28,6.42,0,0,0,0,0,0,0,0,0,2.14,7.49,0,3.21,0,0,0,0,66.33,376.57,0,1.07,0,8.56,2.14,0,246.05,1.07,0,1.07,0,0,0
21Day,5.35,0,0,6.69,0,4.02,0,0,0,0,0,0,1.34,1.34,0,0,2.68,1.34,5.35,0,0,0,0,12.05,88.34,0,0,0,2.68,2.68,0,91.02,0,1.34,0,0,0,0
3Month,0,0.32,0.32,15.68,0,0,0.32,0.64,1.6,5.76,1.6,14.08,2.24,0.64,7.68,0.96,4.48,3.52,19.84,94.7,0,1.92,1.28,5.44,0.32,0.32,0,0,0,0.32,14.72,1.28,0,0,0,0.96,26.56,2.24
22Month,0,0.55,1.64,14.21,0,0,0.55,0,1.09,4.37,0.55,113.7,0,1.64,9.29,0,1.09,2.73,4.92,2.73,1.09,1.09,0,0.55,1.09,1.09,0.55,1.09,0.55,0,14.76,1.64,0,0,0,0,0.55,0.55
