stage,Enterocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,1.34,1.34,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0,0,0,0.64,0,2.24,0.32,0,0,2.24,0.64,0.32
