stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,12.26,179.8,0,0,0,8.17,0,0,0,0,0,0
72hpf,10.7,0,0,4.28,2.14,1.07,0,0,0,0,0,0,0,1.07,0,1.07,7.49,1.07,19.26,0,0,0,42.79,34.23,0,0,0,14.98,0,0,0,0,0,0
21Day,8.03,0,0,6.69,0,5.35,0,2.68,0,0,0,0,0,1.34,0,2.68,4.02,1.34,22.76,0,1.34,0,8.03,14.72,0,1.34,0,9.37,1.34,1.34,4.02,0,0,1.34
3Month,0,1.28,0.32,4.48,0,0,0.32,0.96,0.32,1.92,0,9.6,0.96,0.64,1.28,0.64,1.28,1.28,5.76,1.92,0.64,0.32,0.32,0.64,0,0.32,0,0.96,0.32,40.31,0,2.24,61.75,1.6
22Month,0,0,0,1.09,0,0,0.55,0,0.55,1.09,1.64,12.03,0,1.09,2.73,0,0.55,1.09,1.09,0,0,0,0.55,1.09,0.55,0.55,2.19,0,0.55,15.85,0,0,0,1.09
