stage,Hepatocyte,Immune_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,4.28,0,0,0,0,0,0
21Day,0,0,0,13.39,0,1.34,1.34,0,1.34,0
3Month,0,0.32,0.32,0,0.64,0,0,0,0,0.32
22Month,1.64,0,0,0,0.55,0,0,1.09,0,0
