stage,Endothelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Muscle_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,1.07,0,0
3Month,0.64,1.28,0.32,0.32,0.64,0.32,0.32,0,8.64,31.04
