stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,7.49,0,0,0,0,0,4.28,0,0,0,0,0,0,3.21,0,0,0,19.26,21.4,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,6.69,0,0,0,0,0,0,0,4.02,0,2.68,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,1.6,0,1.6,273.24,2.88,0,0.64,3.2,7.68,15.04,2.88,0.32,5.76,1.28,13.12,2.56,3.52,0.32,2.24,1.92,0.64,1.28,1.92,0,0,0.64,8,0.32,0,0.32,2.24,2.56,3.2
22Month,0,0.55,0,19.13,0,0.55,0,2.19,304.49,10.39,0,0,3.83,0,2.73,0.55,1.09,0,0,0,0.55,0,0,1.09,0.55,0,0.55,0,0,0,0,0,0
