stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,2.14,3.21,1.07,0,0,0,103.77,2.14,0,2.14,0,0,1.07,0,0,0,0,0,0
21Day,2.68,2.68,1.34,13.39,1.34,26.77,0,1.34,0,0,6.69,0,4.02,2.68,0,22.76,1.34,18.74,0,2.68,669.27,5.35,0,12.05,16.06,0,2.68,5.35,2.68,17.4,0,0,4.02
3Month,0,0,0,2.56,0.32,0,0.32,0,0.32,0,2.56,0.64,0,0.32,5.76,0.32,0.32,4.8,0,0,9.92,0.32,0.32,0,0.32,1.6,1.6,0.32,0,0.96,0.64,5.12,0.64
22Month,0,0.55,0,3.28,0,0,0,0,2.19,0.55,9.29,1.64,0,1.64,2.19,0,1.09,1.64,0.55,0.55,63.96,0,0.55,0,0,3.83,20.77,3.28,0,1.09,0,0,0.55
