stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,2.14,2.14,0,1.07,0,0,0,160.47,2.14,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,1.34
3Month,1.28,0.32,6.72,0,0.64,0.32,1.28,287.95,1.92,4.16,0.96,2.24,1.92,2.24,1.28,1.28,0.96,0,0,0.64,0.64,2.56,1.28,0.32,0.32,1.28,2.24
22Month,0,0,1.64,0,0.55,0,3.28,122.45,1.64,1.64,0,0,1.64,2.73,1.64,0,0,0,0.55,0,0.55,0,1.64,0,0,0,0.55
