stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,34.23,2.14,0,1.07,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,38.82,0,0,0,1.34,1.34,0,1.34,1.34,0,0
3Month,0,0,0.64,0,0.32,0,0,0.32,0.32,0.32,0.64,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,4.48,0,0,0.32,0.64
22Month,0,0,0.55,0,0,0.55,2.19,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0
