stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,224.75,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,990.63,1.07,3.21,1.07,4.28,3.21,0,0,0,0,0,1.07,5.35,1.07,6.42,0,1.07,56.7,17.12,0,2.14,5.35,3.21,0,2.14,1.07,1.07,0,0,0
21Day,722.81,1.34,5.35,1.34,1.34,0,0,8.03,0,2.68,1.34,0,2.68,0,14.72,0,12.05,18.74,1.34,0,1.34,9.37,2.68,0,1.34,0,4.02,1.34,0,0
3Month,13.76,0,0.64,0,0,0,3.52,0.32,0.64,0.32,0,0,0,0.32,0.64,0.32,0,0,0,0.64,0,0.32,0,3.52,0,0,0,0,0.96,5.44
22Month,0,0,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0,4.92,0,0,0,0,0,0
