stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.64,7.36,0.32,1.92,1.28,0.96,0.32,7.04,0.64,0.96,0.64,0,0.32,0.64,7.36,0,1.92,0.64
22Month,0.55,3.83,1.64,0.55,2.19,0,0.55,4.37,0.55,0,1.64,1.09,0,0,5.47,0.55,0,0.55
