stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,2.14,0,0,0
21Day,0,13.39,0,0,0,1.34,2.68,1.34,0,0
3Month,0.32,3.52,0.64,0.32,0.96,0.64,0.32,0,0,0.32
22Month,0,1.09,0.55,0.55,0,0.55,1.09,0,2.19,0
