stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,39.58,1.07,0,3.21,3.21,3.21,0,0,0,0,0,0,0,0,1.07,6.42,0,2.14,0,0,0,0,171.17,21.4,0,0,0,9.63,2.14,2.14,3.21,5.35,0,1.07,0,0,0
21Day,18.74,0,2.68,5.35,2.68,5.35,0,1.34,0,0,0,0,0,1.34,1.34,6.69,0,4.02,0,0,0,0,133.85,2.68,2.68,1.34,0,1.34,1.34,1.34,6.69,4.02,18.74,4.02,0,0,0
3Month,0.96,7.68,3.84,9.28,1.28,0,0.64,0,3.2,1.28,0,6.4,2.56,14.72,4.48,2.24,0.32,2.24,0.32,0,1.6,0.64,4.16,0.32,6.4,1.6,0,0,0.96,77.11,0.64,0.32,0,0.64,0.32,6.72,1.28
22Month,1.64,15.85,4.92,4.92,1.09,0,0,0,5.47,0.55,1.09,55.76,0.55,16.95,1.09,1.09,1.09,6.01,0.55,4.92,1.09,0.55,3.28,0.55,9.84,2.73,1.64,0,0,45.92,4.37,6.56,0,0.55,0,0,0
