stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,3.21,0,3.21,0,0,0,1.07,0,0,0
21Day,0,0,0,6.69,0,0,0,0,0,0,0,2.68,0,0,1.34,8.03,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0
3Month,0.32,0.32,0,7.36,0.32,0.64,0.96,1.6,10.24,8.64,0.96,0.32,6.72,0.96,1.92,3.2,1.92,0.32,0.96,2.24,0,0.64,0.32,0.64,56.31,0,0,0.96,33.91,1.6
22Month,0,0,0.55,1.09,0,0,0,0,1.64,3.83,0,0,2.73,0,0,0.55,0.55,0,0,1.09,0,0,0,0,25.69,0,0,0,0,0
