stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,138.94,0,0,175.72,4.09,0,0,4.09,0,0,0,0,20.43,16.35,0,163.46,0,0,130.76,952.13,0,4.09,0,0,0,0,0,0
72hpf,2.14,2.14,0,6.42,0,0,0,0,0,0,0,0,7.49,7.49,0,4.28,0,0,22.47,8.56,0,9.63,0,0,2.14,0,0,0
21Day,2.68,0,4.02,5.35,1.34,0,0,0,0,1.34,1.34,0,0,4.02,0,5.35,0,0,6.69,0,1.34,9.37,0,0,0,1.34,0,0
3Month,0,0,9.6,7.04,0,4.48,0.32,0,1.92,0.96,0,12.8,0,1.6,0,0.96,0.32,2.56,0.32,0,0,0,0.64,3.52,0,0,7.04,0.32
22Month,0,0.55,2.19,0,0,1.64,0.55,0,14.21,0,0,4.92,0.55,0.55,0.55,0.55,0,0.55,0,0,0,0,0,2.73,0,0,0,0
