stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,40.86,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,5.35,1.07,2.14,0,0,0,0,0,0,0,0,4.28,10.7,1.07,6.42,0,0,0,1.07,1080.49,23.54,0,0,0,12.84,0,0,9.63,33.16,1.07,0,0,0,0
21Day,2.68,0,13.39,0,6.69,0,0,0,0,1.34,0,2.68,0,1.34,8.03,1.34,8.03,0,0,0,0,194.09,8.03,0,0,0,2.68,2.68,0,0,235.58,12.05,0,0,0,1.34
3Month,0,0.96,37.43,0,0,0.32,1.28,1.28,0,11.2,1.28,0,1.92,6.08,2.24,1.6,4.48,1.6,0.32,102.38,6.72,2.56,0.32,0,0,0,0.32,0.96,57.91,0,6.4,0,0.32,1.6,4.8,0.96
22Month,0,0.55,21.32,0,0,0,0,6.01,1.09,45.92,0.55,0.55,6.56,0.55,0,5.47,4.37,0,1.64,16.95,0,4.92,0,0.55,0.55,1.64,0,0.55,48.11,1.64,317.06,0,0,0,0,3.28
