stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,40.86,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,2.14,0,0,0,0,0,0,0,0,1.07,6.42,1.07,2.14,0,60.98,9.63,0,3.21,0,0,1.07,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,4.02,0,4.02,0,12.05,4.02,0,1.34,0,0,0,0,0
3Month,0,0.32,11.84,0,0.32,0.96,0.96,0,3.52,2.56,0.32,10.88,0,173.41,1.28,0,0.32,0.32,0,0.64,0,0.96,0.64,0.32,0.64,1.6
22Month,0,0,1.09,0,0,0,0.55,0.55,2.19,0,0,0,0,7.11,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0
