stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,1.34,2.68,1.34,0,0,0,0,0,17.4,1.34,0,1.34,4.02,1.34,0,2.68,1.34,0,1.34,0,0
3Month,0,0.32,0,0,0,0.32,0.96,0,0,0.64,0.32,0,2.56,0,0.32,0,0,0.32,0,0.32,1.6
22Month,0,0,0,0.55,0.55,1.09,3.28,0.55,0.55,0.55,0,0.55,2.73,0,0,0,0,4.37,0,0,0.55
