stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Spermatocyte
24hpf,4.09,0,4.09,0,0
72hpf,0,0,8.56,8.56,0
21Day,5.35,0,4.02,5.35,0
3Month,0,0.64,0,0,0.32
