stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,1.07,0,2.14,0,0,0,0,0,1.07,0,1.07,0,8.56,1.07,0,0,0,0,0
21Day,0,4.02,1.34,0,0,0,0,1.34,0,0,0,0,0,10.71,1.34,1.34,0,1.34,2.68,0
3Month,0.64,0,0,0,0.32,0.32,2.88,0,0.32,0.96,0.32,0,0,0,0,0,0.64,0,0,0.32
22Month,0,0,0,0,0,0,4.37,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0
