stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,20.43,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,2.14,0,3.21,0,5.35,1.07,5.35,0,0,1.07,0
21Day,4.02,1.34,0,0,0,0,0,0,0,0,2.68,0,4.02,1.34,1.34,1.34,0,0,0
3Month,0,0,0,0.32,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0.64,0,0.32
22Month,0.55,0,0.55,0,2.19,2.19,0.55,1.64,0,0.55,1.09,0,0,0,0,0,0,0,0
