stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,38.51,1.07,2.14,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,8.03,1.34,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,40.16,1.34,13.39,1.34,0,2.68,0,0,1.34,0,0
3Month,0,0.32,0.32,0.32,0,0,0.64,0.64,0,2.24,0.64,0,0.32,0.64,0,0.96,0.32,0.32,1.6,0,17.28,0,0.32,0,1.28,0,0,0.32,0
22Month,0,0,0,0.55,0,0,0,0.55,1.09,11.48,0,0.55,1.09,0,0,0,0,0,1.09,0,10.39,0,0,0,0,0.55,0,0,0.55
