stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,48.14,0,1.07,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,61.57,0,2.68,0,0,1.34,1.34,0,0,0,1.34,0,0,1.34,0,0,0,1.34,1.34,0,1.34,0,0
3Month,0,0.32,0,0.32,1.28,1.6,0,0,0.32,0.64,0.32,0.32,0,0,0.32,0,0,0.32,7.68,0,0,5.76,1.28
22Month,0,0.55,0,0,0.55,2.19,0,0.55,0,0.55,0,0,0,0,0.55,0.55,1.09,0,19.68,1.09,0,0,0
