stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
3Month,0.32,0.64,1.6,0.32,0.64,0.32,0,0.32,0.32,19.2,0.32,0,0,0.32,0.32,0,0,0.96,0.32,0
22Month,0.55,5.47,0.55,0,2.19,2.73,2.73,19.13,0,143.22,0,3.83,2.73,0,1.09,1.09,0.55,0.55,0,1.09
