stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,3.21,0,0,0,0,0,0,0,0,2.14,0,2.14,0,11.77,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,6.69,0,1.34,4.02,0,0,0,1.34,0,0,0,0,4.02,0,2.68,0,1.34,0,1.34,0,1.34,0,0,0
3Month,0,0.32,12.8,0,0,63.99,0.32,0,8,0.32,4.8,0.64,0,0.64,0.96,0,1.28,0,0,0,0,0,0.32,0.64,0.32,0.32
22Month,0,0,4.37,0,0,13.67,0,0,9.84,0.55,1.09,0,0,0.55,1.64,0.55,0,0,0,0.55,0,0.55,0,0,0,0
