stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell
24hpf,4.09,0,0,4.09,0,20.43
72hpf,0,0,1.07,0,0,1.07
21Day,2.68,1.34,0,0,2.68,0
