stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,14.08,0.96,0.32,1.28,0.32,0.32,0.64,0.32,0.32,0.32,0.64,36.47,0.32,41.59,0.32
22Month,0.55,0,0,4.37,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0
