stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,4.09,0,4.09,4.09,0,0,0,0,0,0,0,16.35,0,12.26,61.3,4.09,4.09,0,0,0,0,0
72hpf,2.14,0,0,3.21,3.21,0,0,0,0,0,0,1.07,3.21,0,50.28,6.42,1.07,13.91,0,4.28,0,0,1.07
21Day,4.02,1.34,0,9.37,1.34,5.35,5.35,0,0,1.34,2.68,1.34,16.06,2.68,38.82,8.03,0,4.02,0,2.68,1.34,6.69,1.34
3Month,0,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0
22Month,0,0,0,0,0,0,0,5.47,0.55,0,0,0,2.19,0.55,0,0,0,0,0,0,0,0,0
