stage,Cardiomyocyte,Erythrocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,2.14,53.49,6.42,1.07,0,0,0,0
21Day,1.34,1.34,1.34,1.34,0,2.68,16.06,1.34,1.34,1.34,0,1.34,1.34
3Month,0,0,0.32,0,0.32,0,0,0,0,0,0.32,0,0.32
22Month,0,0,0.55,0,0,0,0,0,0,0,0,0,1.09
