stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,0,16.05,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,4.02,1.34,0,0,0,0,0,0,0,0,2.68,0,0,0,0,14.72,1.34,0,1.34,0,1.34,1.34,0,2.68,0,0
3Month,0,0.64,6.4,0,1.28,1.6,0,15.04,0.32,0.64,2.56,0.32,0,0.64,2.88,0,0.64,0,0.32,0.32,0,0.96,0.64,11.84,0.32,0,2.56,0.64
22Month,0,0.55,4.92,0,0.55,1.09,1.64,34.99,1.64,0,3.83,0,0,1.09,2.19,2.73,0,0,0,0,0,0,0.55,20.23,0,0,0.55,0
