stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,24.52,4.09,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,57.21,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,2.14,0,7.49,0,0,0,9.63,5.35,0,1.07,37.44,0,5.35,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,20.08,0,0,1.34,2.68,1.34,1.34,0,28.11,0,0,0
3Month,0,0,1.6,0,0.32,0,0,0,0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0.64,0.32,0.32
22Month,0,0,0,0,0.55,6.56,0.55,0.55,0,0,1.09,1.09,0,0.55,0,0,0,0,0,0,0,0,0
