stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,0,0,4.28,3.21,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,40.16,1.34,0,5.35,0,2.68,1.34,0,30.79,0,1.34,24.09,6.69,1.34,0,0,0,0,4.02,1.34,0,0,0,0,4.02,0,1.34,2.68,0,0,29.45
3Month,0,0.96,41.59,0,2.24,2.24,1.28,13.76,13.44,19.52,12.48,5.76,0,30.4,58.55,6.72,0,0,1.28,0.32,0,0,1.92,1.28,0,0.64,0.96,6.4,0.32,0,0.96,1.28,175.65
22Month,3.83,1.64,27.33,0,1.64,3.28,0,54.67,51.93,14.76,33.89,8.75,0,11.48,75.44,6.56,0.55,3.28,0,0,0.55,0,1.64,0,1.64,0,0.55,10.39,1.64,0,0.55,0,82.54
