stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,4.09,0,0,0,126.68,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,11.77,0,0,0,0,0,0,0,0,0,0,165.82,4.28,2.14,9.63,0,9.63,0,0,12.84,11.77,0,0,40.65,0,0,0,1.07,0,0,0
21Day,1.34,4.02,9.37,36.14,0,1.34,0,5.35,0,0,6.69,1.34,0,33.46,14.72,5.35,1.34,54.88,0,0,1.34,0,10.71,0,0,0,10.71,1.34,0,2.68,0,0,0,0
3Month,0.64,18.88,7.36,107.18,0.32,0,0.64,151.66,0.96,0,56.95,4.48,0.32,171.49,11.52,0.96,2.88,13.12,0.64,0,0.32,0.96,0.96,0,18.24,0.96,0,0.96,2.24,0.32,0.32,5.12,1.28,3.2
22Month,0.55,20.23,30.61,102.77,0.55,0,0.55,115.89,6.56,1.09,436.78,2.19,0,303.39,6.56,0.55,4.37,6.01,0,7.11,1.64,0.55,0.55,0,26.24,1.64,0,0,1.09,0,0,2.19,0,2.19
