stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,0,0,4.28,0
21Day,1.34,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0,0,0,0.32,0.32,0.32,0,0,0,0
22Month,0,0.55,0.55,0.55,1.64,0.55,0.55,1.64,0.55,0,0
