stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,2.14,0,0,0,0,0,1.07,0,0,0,0
21Day,4.02,0,2.68,342.66,0,104.41,0,1.34,0,0,0,0,2.68,0,66.93,4.02,10.71,0,0,0,2.68,4.02,0,2.68,8.03,5.35,0,1.34,8.03,0,0,1.34
3Month,0,0,0,64.95,0,0,0.32,0,0.32,5.76,1.6,0.32,0.64,0.32,9.92,2.88,1.6,0.32,0.64,0.32,0.32,0,27.84,0,0,0,15.04,0.64,0,1.28,0.32,1.92
22Month,0,0,0.55,0,0,0,0,0,0,1.64,0,0,1.09,0,45.37,0,0.55,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0
