stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,47.07,29.95,0,46,104.84,136.93,19.26,1.07,0,0,3.21,0,160.47,136.93,10.7,2384.56,0,5.35,2.14,2.14,702.85,267.45,2.14,5.35,156.19,0,0,86.65,24.61,0,4.28,0
21Day,52.2,8.03,4.02,238.26,10.71,112.44,20.08,17.4,52.2,1.34,68.27,24.09,10.71,82.99,22.76,953.04,1.34,1.34,17.4,2.68,238.26,157.95,1.34,4.02,76.3,65.59,1.34,14.72,12.05,32.12,2.68,46.85
