stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,2.14,0,0,0,0,0,0,0,0,0,4.28,4.28,3.21,0,0,0,0,1.07,2.14,0,6.42,0,0,0,0,0,0,0
21Day,2.68,0,2.68,0,0,0,0,0,0,0,8.03,0,0,4.02,6.69,4.02,0,0,0,0,0,1.34,0,5.35,1.34,0,0,0,0,0,4.02
3Month,0,0,5.44,0,0.32,2.88,16,0,9.6,0.64,1.92,0.32,0.32,3.84,15.36,0.64,0.32,0,0.32,0.32,0,0.32,0.32,0.32,0.32,0.96,0,0.32,0.32,0.32,8.32
22Month,0,1.09,2.19,0,0,2.19,43.19,1.09,30.07,1.09,7.11,2.19,1.09,1.64,16.95,7.11,0,0.55,0.55,0,0,0.55,0,0.55,0,0,0.55,0,0,0,8.2
