stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,171.63,257.44,0,0,0,0,0,0,0,0,0,0,0
72hpf,25.67,5.35,0,25.67,6.42,43.86,0,0,0,0,0,0,0,8.56,77.02,10.7,49.21,0,3.21,2.14,4571.22,422.57,4.28,3.21,68.47,0,1.07,37.44,4.28,2.14,6.42,0,0
21Day,6.69,0,0,18.74,1.34,12.05,4.02,0,0,1.34,1.34,1.34,1.34,1.34,6.69,6.69,25.43,0,8.03,0,646.51,46.85,1.34,1.34,5.35,12.05,0,5.35,2.68,9.37,1.34,0,2.68
3Month,0,0.32,0.64,1.6,0,0,0,0.32,0,4.8,0.64,0,1.28,0,0.96,1.28,0,0,0,0.64,4.16,0.32,0.96,0,0,0.32,0.64,0,0,0,0.32,0.32,0.64
22Month,0,0,0,1.09,0.55,0,0,0,0.55,15.31,0,0,0,0,0,0,1.09,0.55,0,0.55,2.73,0,0,0,0,0,0.55,0,0.55,0,0,0,0
