stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,24.52,0,12.26,16.35,12.26,0,0,0,0,0,0,0,8.17,8.17,0,36.78,0,0,0,0,12.26,187.97,0,0,16.35,0,0,0,0,4.09,0,0,0
72hpf,5.35,11.77,0,1.07,0,2.14,0,0,0,0,0,1.07,0,0,6.42,0,16.05,0,0,1.07,0,6.42,13.91,0,0,7.49,0,2.14,0,1.07,2.14,0,0,0
21Day,17.4,1.34,0,0,2.68,2.68,0,0,0,1.34,0,1.34,0,0,9.37,0,16.06,0,0,0,0,2.68,2.68,0,0,6.69,0,2.68,0,0,0,0,0,0
3Month,0.64,9.28,0.32,5.76,0,2.56,0.32,2.24,0,11.2,2.88,0.64,4.16,0.64,1.92,1.28,6.4,2.24,0,2.88,2.24,1.6,0.32,0,0,0.32,2.24,221.4,0.32,0,0.32,0.96,12.48,1.92
22Month,0.55,2.73,0.55,2.19,0,1.64,1.64,0,1.64,39.36,1.64,1.09,7.11,0,0,4.92,14.21,0,1.64,0,0.55,0.55,0.55,0.55,0.55,0.55,0,75.44,0,0,0,0,0,1.09
