stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0
3Month,0.32,0.64,0.32,0.96,1.28,0.64,0.64,0.32,0,28.8,0.64,1.28
