stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,1.07,2.14,0,16.05,0,0,1.07,0,0,0
21Day,0,0,2.68,1.34,0,0,0,0,1.34,2.68,5.35,0,6.69,0,14.72,0,0,0,0,1.34,1.34,0,17.4,5.35,0,0,0,0,0
3Month,0,0.32,0.32,10.24,0,1.28,2.24,0,142.38,2.24,37.11,0.96,3.84,0.96,5.12,0.64,0.64,0.32,0.64,0.32,0,2.24,1.28,3.84,4.16,0,1.28,6.4,0.64
22Month,0,1.64,0.55,7.11,0.55,1.64,2.19,1.09,198.98,3.83,51.39,0.55,0.55,2.73,7.11,0,7.65,1.09,0,0,0,1.64,0,2.19,4.37,0.55,0,0,1.09
