stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,36.78,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,10.7,3.21,4.28,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,14.72,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,28.11
3Month,0.32,0.96,7.68,1.28,0,0.96,3.2,14.72,0.32,2.88,0,1.92,2.88,3.2,0.96,0.96,0.32,0,0.64,0.32,0.64,0.64,0.32,1.6,0,0.64,221.4
22Month,0,2.19,1.64,1.09,0.55,2.19,9.84,1.64,0.55,0.55,0.55,0.55,2.19,1.09,0,0,0,0,0,0,0,0.55,0,1.09,0.55,0,126.28
