stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,1.07,0,0,0,1.07,0,0,0,3.21,1.07,0,0,0,2.14,0,8.56,8.56,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,1.34,1.34,0,0,0,6.69,0,0,2.68,0,0,0,1.34,0,0,2.68,6.69,4.02,1.34,1.34,0,0,1.34,0,0,6.69,0,0,0
3Month,0.32,0.32,3.52,6.08,0.64,0,1.92,2.56,346.19,4.16,0,79.35,1.28,1.92,1.6,1.6,0.64,1.28,1.92,170.85,2.88,0,0.64,0.96,0,4.48,1.6,0.64,0,0.96,0.32,2.56
22Month,0.55,2.19,4.37,4.37,0,0.55,0.55,3.83,541.73,0.55,0.55,52.48,1.09,0.55,2.19,5.47,0,13.67,0,10.93,2.19,0,0,1.64,0.55,0,0.55,0.55,0,0,0,1.64
