stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Muscle_cell
72hpf,0,0,0,1.07,0,0
21Day,4.02,0,0,0,1.34,0
3Month,0.32,0,1.6,0,0,2.24
22Month,0,0.55,1.09,0,0,0.55
