stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,16.35,81.73,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,1.07,0,0,3.21,0,2.14,0,0,0,0,0,0,0,0,0,2.14,10.7,0,6.42,0,0,23.54,23.54,0,1.07,4.28,0,0,5.35,2.14,0,2.14,0,0,0
21Day,0,1.34,0,24.09,1.34,9.37,9.37,0,0,2.68,0,0,0,2.68,2.68,4.02,13.39,4.02,22.76,0,2.68,30.79,26.77,0,0,14.72,1.34,0,5.35,1.34,4.02,1.34,0,0,1.34
3Month,0,1.28,0,8,0,0,0,0.32,1.28,2.24,0,17.92,1.28,0,4.16,0.64,2.24,1.6,2.88,0.32,0.64,0.32,0.32,0,0,0,1.6,1.28,0.32,0,0,0,0.32,0.64,1.28
22Month,0.55,1.09,1.09,5.47,0,0,0.55,0,1.64,4.37,2.19,59.04,1.64,0,6.56,0,0.55,4.92,4.37,0,0.55,0,0.55,0.55,0,0,0,0.55,0,2.19,0,0,0,0,0.55
