stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,3.21,0,0,0,0,0,0,1.07,0,4.28,1.07,0,2.14,10.7,2.14,0,3.21,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,1.34,4.02,0,0,0,0,20.08,0,1.34,0,21.42,5.35,0,1.34,12.05,2.68,0,2.68,0,0,2.68,0,0,0,4.02
3Month,0,0.64,4.48,0,0.32,0,16.32,0,0,4.16,33.59,2.88,0.32,0.32,0.32,35.83,2.88,0,1.28,0.64,0,0,0,0.64,0.32,7.68,0,0.64,15.68,6.72
22Month,0,1.09,1.64,0,0,1.09,30.61,117.53,0,8.75,15.85,9.84,1.09,0,0,44.83,6.56,0.55,1.64,0,0,1.09,0.55,0.55,0,9.29,0.55,0.55,0,12.57
