stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,8.17,81.73,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,1.07,2.14,3.21,0,0,0,0,0,0,0,0,0,0,2.14,0,8.56,0,0,28.88,29.95,0,1.07,6.42,0,0,3.21,0,0,0,0,0
21Day,2.68,0,0,5.35,0,5.35,0,1.34,0,0,0,1.34,0,0,1.34,1.34,1.34,1.34,10.71,1.34,0,17.4,14.72,0,0,0,1.34,0,0,1.34,1.34,0,0,1.34
3Month,0.64,0.96,0.32,6.08,0.32,0,0.32,0,0,2.88,0,12.48,1.92,0.64,4.48,0.96,3.2,0.64,3.84,0.32,0.64,0.32,0,0.96,0,0.32,0.32,12.48,0,0,0,0.32,3.52,2.88
22Month,0.55,1.09,0,4.37,0,0,0,0.55,0.55,4.37,1.09,34.99,0.55,2.19,6.56,0.55,1.64,6.01,2.73,0.55,0,1.09,0,0,0.55,0,0,1.64,0,0,0,0,0,1.64
