stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mt_rich_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.64,0,0.64,13.12,0.32,0.64,0.32,0,0,0.64,0.32,0.32
22Month,0,0,0,1.09,0,6.56,0,0,0,0.55,0,0,0,0
