stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,24.61,3.21,0,2.14,0,8.56,0,0
21Day,1.34,0,0,0,1.34,0,0,0,4.02,0,0,1.34,0,0,0,0
3Month,0,0.32,0,3.2,0,0.64,0.32,0,0,0,0,0,0,0,0.32,0.32
22Month,0.55,0,0.55,8.2,0,0.55,0,0,0,0,0.55,0,1.09,0,0,0.55
