stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.06,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,4.28,0,1.07,0,0,0,0,11.77,75.96,0,1.07,0,0,1.07,0,0,0
21Day,0,0,1.34,16.06,2.68,2.68,0,5.35,0,0,0,1.34,0,1.34,0,1.34,0,0,1.34,0,12.05,45.51,0,0,0,0,0,0,0,0
3Month,0.64,0.64,3.52,142.7,0.96,0,0.96,332.75,2.56,6.72,7.36,11.2,2.56,1.92,2.56,2.56,1.28,0.32,1.92,1.28,1.92,0.96,3.84,0,1.28,2.24,0.32,0.96,1.28,2.24
22Month,0,0,2.73,53.57,1.09,0,0,77.08,0,3.83,1.64,8.75,0,0,2.73,1.64,0,0,1.09,0,0,0.55,2.73,0,0,0,0.55,0.55,0,0.55
