stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
3Month,0,0,1.28,0.32,0,0.96,0.64,0,2.24,0.32,0,1.6,0.32,17.28,0.64,0,0,0.32,0.32,0.64,0.64,0,0,0,0,0.32,2.88
22Month,0.55,1.64,3.83,0.55,2.73,0,44.83,0.55,12.03,25.15,1.64,9.29,0,91.84,2.73,0.55,1.09,2.19,0,0.55,1.09,2.19,0.55,2.19,2.19,0,10.93
