stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,3.21,0,0,0,0,0,11.77,0,0,0,0,1.07,0,0,0,0,2.14,5.35,0,0,0,0,0,0,0,0,1.07
21Day,1.34,0,1.34,8.03,1.34,2.68,0,1.34,0,0,0,1.34,0,104.41,0,1.34,1.34,5.35,4.02,0,0,0,0,9.37,2.68,0,0,0,1.34,0,2.68,0,0,100.39
3Month,0.32,0,0.64,7.36,0,0,1.92,1.28,1.28,7.04,0,10.56,5.12,12.16,5.44,1.6,4.16,15.36,7.68,0.32,0.32,0.64,0.96,0.32,0,0.32,0,0,1.92,6.72,0.32,0.96,3.84,415.29
22Month,0,1.09,0.55,3.28,0,0,1.64,1.09,0,7.65,1.09,23.51,1.64,20.23,1.09,0,0,7.65,2.73,0,0.55,0.55,0,0,0,1.09,0.55,0.55,0.55,2.19,0,0.55,0,161.26
