stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,5.35,0,0
3Month,0.32,0.32,0.64,0.32,0.32,0,0,0.32,0.32
22Month,0,1.09,2.73,0.55,0,0.55,0,0,0
